context,z,reference,bin_source,n_bins,n_rays,binned_kl,binned_tv,reliable_log10_mae,unsupported_reliable_bins,survival_ratio_mu2,survival_ratio_mu3,survival_ratio_mu5,survival_ratio_mu10
prior center,0.2,rays,rays,64,398605,0.0018445945938377305,0.018823939137828517,0.03306916036464044,0,nan,nan,nan,nan
prior center,0.5,rays,rays,64,399244,0.012486208592317787,0.011735094677320852,0.026939927140975404,1,nan,nan,nan,nan
prior center,1.0,rays,rays,64,399490,0.007157476726690851,0.010112929341010995,0.028887340489893568,1,nan,nan,nan,nan
prior center,2.0,rays,rays,64,399544,0.0072989325802344344,0.012456933955681,0.037827638551408194,1,0.9172240118136662,0.7711267491352376,nan,nan
prior center,3.5,rays,rays,64,399457,0.0004644068658804924,0.010473106948669058,0.03254961229144133,0,1.0782887337264335,1.0156217968294365,0.9978782834098969,nan
prior center,5.0,rays,rays,64,399377,0.000348359458492089,0.0093347915486563,0.02481750135803595,0,1.0331624269795674,0.9492999581000906,0.9256586804561345,nan
prior center,8.0,rays,rays,64,399179,0.0004357958739620256,0.010945896465006943,0.040979307511385614,0,1.0181311608731927,0.9717335431246106,0.8680279265813186,0.771365738303126
prior center,10.0,rays,rays,64,399012,0.0012358275954270932,0.018089522714485752,0.06320356476948161,0,1.0049245100241502,0.9996044020709594,0.8833817852545531,0.753799099762909
high structure,0.2,rays,rays,64,398783,0.001352946408295871,0.021628465621521285,0.038249966947075664,0,nan,nan,nan,nan
high structure,0.5,rays,rays,64,399363,0.005012281997226896,0.018897323561347407,0.03419986331553467,0,nan,nan,nan,nan
high structure,1.0,rays,rays,64,399472,0.002373564830866645,0.013712193652236106,0.03660356518731832,0,0.8944789319678135,nan,nan,nan
high structure,2.0,rays,rays,64,399385,0.007516933791421221,0.01335300291417391,0.05526831820780778,0,1.0080671107448218,0.9004122407782076,0.9200599065428227,nan
high structure,3.5,rays,rays,64,399021,0.0007122449802588808,0.015133129265276872,0.03298457885706151,0,1.0115536577178257,0.9739490953669273,0.9108924224655632,0.7455490604409226
high structure,5.0,rays,rays,64,398554,0.0041263264372772696,0.027830277053259963,0.050450233967094374,0,0.9856784355365656,0.9866623149062543,0.9455761518572001,0.8803343583461607
high structure,8.0,rays,rays,75,397409,0.007130854975878889,0.04387071100838318,0.05519311920906234,0,0.9859342885700179,1.0171716758729223,1.0144526352525949,0.963787539785927
high structure,10.0,rays,rays,82,396459,0.007669353771139666,0.03998929518990169,0.06109970759261651,0,0.9624647034888968,0.9817519781726576,0.9687083914842,0.931071177108606
low structure,0.2,rays,rays,64,398238,0.0006124060575629971,0.01244114328976062,0.0534637353753468,0,nan,nan,nan,nan
low structure,0.5,rays,rays,64,399125,0.02258636875050953,0.01122759769509908,0.031451974839868106,1,nan,nan,nan,nan
low structure,1.0,rays,rays,64,399476,0.020751390551732123,0.009204444507996113,0.029338355611957998,1,nan,nan,nan,nan
low structure,2.0,rays,rays,64,399650,0.034458253783506206,0.01179275715190371,0.03477062044029518,1,0.839263098000086,nan,nan,nan
low structure,3.5,rays,rays,64,399669,0.0005359243227534912,0.01132351703943019,0.03733502886674932,0,0.9228205962958201,nan,nan,nan
low structure,5.0,rays,rays,64,399696,0.0005298524742363149,0.011578454143856672,0.0438990257408354,0,0.9939353489465368,1.3772640043602977,nan,nan
low structure,8.0,rays,rays,64,399697,0.00035430596425491096,0.009803730763383207,0.04014634932867049,0,0.9621714439538406,0.9563727906806199,nan,nan
low structure,10.0,rays,rays,64,399669,0.0004212535459109944,0.010367535603582305,0.03361224083013495,0,1.0133050391560967,0.8715061153514395,0.9048326081182435,nan
box hi-struct,0.2,rays,rays,64,398792,0.004302473706901377,0.032657266534338425,0.0396504866740903,0,nan,nan,nan,nan
box hi-struct,0.5,rays,rays,64,399038,0.007239004761524314,0.034240308387910826,0.05396432584031256,0,1.027628884825061,nan,nan,nan
box hi-struct,1.0,rays,rays,64,399019,0.024762896384345822,0.02907658684186791,0.06271589252953501,2,0.9481648915821355,0.9781770737210503,1.1890571977190063,nan
box hi-struct,2.0,rays,rays,64,398151,0.05340648152966212,0.013333985502843381,0.04270876251472223,5,1.0194136540185812,1.0845771651359655,1.066393285133243,1.022871439580236
box hi-struct,3.5,branch-clean,rays,98,393340,0.006301544288380905,0.03609959199853831,0.06228924030767771,0,1.0277777365906973,1.0940852164325792,1.1080720763873027,1.1188194122660011
box hi-struct,5.0,branch-clean,rays,122,382723,0.003196484677735087,0.03436485307695616,0.044152606690266626,0,0.9368360787446174,0.9587190188136206,0.9664372027034734,0.9815565751352783
box hi-struct,8.0,branch-clean,rays,159,344272,0.0011872619374484609,0.012047460912826838,0.04220254107659256,0,1.0145845687914938,1.020421139664174,1.0349292261361211,1.0452249889747918
box hi-struct,10.0,branch-clean,rays,180,312458,0.014248386032368145,0.06804772190488925,0.07603873925149293,0,1.0869346798667703,1.0699545560552441,1.0254879761235904,0.9966417509630104
box lo-struct,0.2,rays,rays,64,398197,0.00021450633633882669,0.007483719291875323,0.020083704236359207,0,nan,nan,nan,nan
box lo-struct,0.5,rays,rays,64,399318,0.0019064983811619735,0.02160505130622776,0.04300117916394552,0,nan,nan,nan,nan
box lo-struct,1.0,rays,rays,64,399664,0.00037547831093983974,0.009315488676509845,0.042909942705417065,0,nan,nan,nan,nan
box lo-struct,2.0,rays,rays,64,399824,0.0003873073921270336,0.011516221269010618,0.04112523895685571,0,nan,nan,nan,nan
box lo-struct,3.5,rays,rays,64,399903,0.00040770274095904187,0.01027089878007409,0.040183330761505175,0,nan,nan,nan,nan
