rank,y_lo,y_hi,mu_center,count,source_observed_mass,source_predicted_mass,kl_contribution
1,-5.25,-5.0,0.17279703962380108,4,5.810713523972684e-05,0.0,0.03957225522475151
2,-4.25,-4.0,0.2415906647170239,5,5.195120516248738e-05,0.0,0.035374111848778596
3,-6.0,-5.75,0.1343935449521076,2,3.735574113333628e-05,0.0,0.025423589126017186
4,-2.5,-2.25,0.43429205844084817,5,2.889973681101811e-05,0.0,0.01966118020630056
5,-4.5,-4.25,0.2221744869769598,2,2.2596521065638616e-05,0.0,0.015367392634496269
6,-3.25,-3.0,0.33777227552904276,3,2.229477153220642e-05,0.0,0.015161879745882878
7,-3.0,-2.75,0.3672907257641408,3,2.050298356204426e-05,0.0,0.013941630813258487
8,-4.0,-3.75,0.26270365275769136,2,1.9110394631067186e-05,0.0,0.012993353186406808
9,-5.75,-5.5,0.1461384081513552,1,1.7176765980722663e-05,0.0,0.011676826920561875
10,-5.0,-4.75,0.18789804460391185,1,1.3359294094319182e-05,0.0,0.009078338088607994
11,-4.75,-4.5,0.20431875015242243,1,1.2285633284945976e-05,0.0,0.008347700179521286
12,-3.5,-3.25,0.31062616644813307,1,8.081048890098256e-06,0.0,0.0054874325235990075
